date	ouv	haut	bas	clot	vol	devise	
13/03/2015 00:00	12.597	12.783	12.491	12.579	81384859	USD	
16/03/2015 00:00	12.8	13.061	12.656	13.047	84293028	USD	
17/03/2015 00:00	13.029	13.247	12.929	12.982	73378004	USD	
18/03/2015 00:00	12.997	13.392	12.874	13.381	71969970	USD	
19/03/2015 00:00	13.467	13.639	12.969	13.043	127050566	USD	
20/03/2015 00:00	13.163	13.266	13.044	13.205	63751778	USD	
23/03/2015 00:00	13.233	13.367	13.165	13.309	39338673	USD	
24/03/2015 00:00	13.424	13.585	13.317	13.448	54684577	USD	
25/03/2015 00:00	13.218	13.239	12.847	12.953	85906834	USD	
26/03/2015 00:00	12.928	12.986	12.647	12.694	61837323	USD	
27/03/2015 00:00	12.607	12.619	12.093	12.333	128984115	USD	
30/03/2015 00:00	12.39	12.817	12.12	12.705	150600996	USD	
31/03/2015 00:00	12.91	12.917	12.562	12.585	73648051	USD	
01/04/2015 00:00	12.58	12.65	12.403	12.506	56837548	USD	
02/04/2015 00:00	12.682	12.882	12.667	12.733	74802943	USD	
06/04/2015 00:00	13.198	13.85	13.167	13.54	186274818	USD	
07/04/2015 00:00	13.501	13.669	13.409	13.55	65057976	USD	
08/04/2015 00:00	13.845	14.059	13.725	13.845	94070021	USD	
09/04/2015 00:00	13.895	14.025	13.741	14.006	56649536	USD	
10/04/2015 00:00	13.97	14.11	13.933	14.06	60253578	USD	
13/04/2015 00:00	14.048	14.2	13.937	13.985	56348258	USD	
14/04/2015 00:00	13.911	13.966	13.7	13.831	45255168	USD	
15/04/2015 00:00	13.816	13.961	13.775	13.855	29107146	USD	
16/04/2015 00:00	13.847	13.945	13.753	13.78	24846068	USD	
17/04/2015 00:00	13.664	13.792	13.567	13.786	36950800	USD	
20/04/2015 00:00	13.777	13.855	13.59	13.685	38322848	USD	
21/04/2015 00:00	13.72	14.05	13.621	13.961	51240887	USD	
22/04/2015 00:00	14.167	14.788	14.113	14.629	117605661	USD	
23/04/2015 00:00	14.551	14.765	14.477	14.573	66105391	USD	
24/04/2015 00:00	14.685	14.72	14.534	14.562	36019830	USD	
27/04/2015 00:00	14.837	15.917	14.8	15.439	173170297	USD	
28/04/2015 00:00	15.659	15.699	15.202	15.365	91183797	USD	
29/04/2015 00:00	15.333	15.665	15.175	15.497	58943344	USD	
30/04/2015 00:00	15.07	15.523	15.011	15.07	58326298	USD	
01/05/2015 00:00	15.329	15.451	14.694	15.069	79048585	USD	
04/05/2015 00:00	15.226	15.643	15.141	15.38	65642951	USD	
05/05/2015 00:00	15.866	15.967	15.275	15.53	86695107	USD	
06/05/2015 00:00	15.607	15.631	15.213	15.362	71691042	USD	
07/05/2015 00:00	14.751	15.832	14.683	15.787	141564981	USD	
08/05/2015 00:00	15.733	15.83	15.582	15.774	69947829	USD	
11/05/2015 00:00	15.764	16.192	15.687	15.966	84924039	USD	
12/05/2015 00:00	16.007	16.423	15.884	16.316	94650482	USD	
13/05/2015 00:00	16.5	16.553	16.15	16.209	80946659	USD	
14/05/2015 00:00	16.287	16.325	16.083	16.273	42732922	USD	
15/05/2015 00:00	16.293	16.626	16.167	16.591	67727537	USD	
18/05/2015 00:00	16.467	16.66	16.401	16.583	49852459	USD	
19/05/2015 00:00	16.562	16.733	16.41	16.469	54953530	USD	
20/05/2015 00:00	16.475	16.516	16.091	16.29	56176507	USD	
21/05/2015 00:00	16.202	16.441	16.157	16.375	29490175	USD	
22/05/2015 00:00	16.363	16.573	16.335	16.515	33242612	USD	
26/05/2015 00:00	16.525	16.796	16.433	16.497	52353434	USD	
27/05/2015 00:00	16.567	16.633	16.37	16.511	49884694	USD	
28/05/2015 00:00	16.469	16.786	16.337	16.763	54636291	USD	
29/05/2015 00:00	16.733	16.858	16.629	16.72	56767423	USD	
01/06/2015 00:00	16.761	16.773	16.5	16.63	37528905	USD	
02/06/2015 00:00	16.595	16.626	16.421	16.557	31892479	USD	
03/06/2015 00:00	16.547	16.715	16.468	16.599	26632691	USD	
